Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Velocity,PositionX,PositionY,HorizontalInput,VerticalInput
2.66735482215881,5.0662784576416,10,6.45072031021118,3.39624762535095,0,-201.02,-8.96,0,0
2.66734480857849,5.06629276275635,10,6.45070600509644,3.39623785018921,2.120925,-200.6806,-8.96,0,1
2.66734409332275,5.06629276275635,10,6.45070600509644,3.39624834060669,6.120924,-198.5801,-8.96,0,1
2.66734552383423,5.06627941131592,10,6.45070600509644,3.39623761177063,10.12092,-194.4796,-8.96,0,1
2.66733479499817,5.06627941131592,10,6.45070600509644,3.39624834060669,14.12092,-188.3792,-8.96,0,1
2.66732406616211,5.0662784576416,10,6.45070600509644,3.39624786376953,18.12091,-180.2787,-8.96,0,1
2.66732406616211,5.0662784576416,10,6.45070600509644,3.39622759819031,20,-170.481,-8.96,0,1
2.66732406616211,5.0662784576416,10,6.45070600509644,3.39622759819031,20,-160.4812,-8.96,0,1
2.66732406616211,5.06629371643066,10,6.45070600509644,3.39623785018921,20,-150.4813,-8.96,0,1
2.66732406616211,5.06629371643066,10,6.37607049942017,3.39623785018921,20,-140.4815,-8.96,0,1
2.84915089607239,4.97723293304443,10,7.88953113555908,3.16961193084717,20,-130.4827,-8.898034,-0.385248839855194,1
1.68764090538025,2.02917814254761,4.51807737350464,10,6.42542934417725,20,-120.5296,-7.947058,-0.285445809364319,1
0.348381489515305,0.638522624969482,7.51819324493408,10,5.37338590621948,19.92,-111.6179,-3.841018,-0.5,0
2.21659159660339,4.29635763168335,10,6.9609637260437,3.51174187660217,19.63999,-105.4538,3.887364,-0.5,0
2.95122528076172,4.78703546524048,10,10,3.11315250396729,17.93025,-101.7492,12.65016,0,-0.992352783679962
1.84476733207703,2.87201333045959,8.39199447631836,10,4.76312208175659,15.91985,-99.33763,20.53429,-0.5,0
2.1793053150177,3.95953011512756,10,9.85576820373535,3.75560426712036,15.59985,-99.88882,28.29633,-0.5,0.0640257075428963
2.68817496299744,4.61888647079468,10,8.92023849487305,3.08427715301514,14.59985,-102.7353,35.29058,-0.147614106535912,0
1.80986309051514,2.99919176101685,8.74077701568604,10,3.97634768486023,14.23985,-106.1065,41.72129,-0.5,0
2.54171395301819,4.89097213745117,10,5.80613851547241,2.96992063522339,13.23985,-111.0418,46.45869,-0.160576924681664,0
3.56466150283813,6.03811073303223,10,4.23590135574341,2.0505199432373,12.51986,-116.7005,49.61765,0.150206714868546,0
3.0691933631897,5.26767683029175,10,10,2.63629651069641,12.11986,-122.1361,52.36384,-0.5,0.159848302602768
3.78074932098389,7.00929021835327,10,4.33594274520874,2.22284245491028,11.95986,-128.0505,53.23341,-0.0500656217336655,0.234099000692368
3.59442543983459,6.52311563491821,10,4.88407897949219,2.44183754920959,14.81848,-134.5737,53.37021,0,1
3.50778961181641,6.58923196792603,10,4.89996099472046,2.55000877380371,18.81847,-143.0216,53.49678,0,1
3.41418766975403,6.41326761245728,10,5.0818452835083,2.64475131034851,20,-152.9456,53.56825,0,1
3.31969118118286,6.23558044433594,10,5.26549386978149,2.74042224884033,20,-162.9454,53.64025,0,1
3.22517895698547,6.05786657333374,10,5.44915676116943,2.83612203598022,20,-172.9453,53.71225,0,1
3.13067245483398,5.88014888763428,10,5.63283348083496,2.93180346488953,20,-182.9451,53.78426,0,1
3.03615713119507,5.70243310928345,10,5.8164963722229,3.02745294570923,20,-192.945,53.85626,0,1
2.56217694282532,3.53258609771729,8.15118789672852,10,4.16999435424805,19.33632,-202.8822,53.90948,-0.255346179008484,-0.649775981903076
1.30894696712494,1.9727874994278,6.64382886886597,10,5.26425647735596,15.46858,-211.3452,52.18927,-0.5,-1
1.70641326904297,3.73506093025208,10,7.98918962478638,3.99399828910828,12.18077,-216.9039,48.45331,-0.5,0.142941892147064
2.28452682495117,4.10936069488525,10,9.25968551635742,3.45097517967224,12.14077,-220.9454,43.90625,0,0.438243001699448
1.8012170791626,2.71105003356934,7.73146200180054,10,4.3063588142395,13.20936,-225.013,38.85526,-0.0530640035867691,0.0530640035867691
